,OTU,.ID,group,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,
221,OTU,14236,1,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unidentified,unidentified,Trechisporales,sp,SH185925.07FU,,
625,OTU,14238,1,Fungi,Zygomycota,Incertae,Mucorales,Umbelopsidaceae,Umbelopsis,,,,,
663,OTU,14248,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena,albidolilacea,SH220718.07FU,,
744,OTU,14272,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
36,OTU,14649,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,persicinum,SH207979.07FU,,
390,OTU,14679,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,defibulatum,SH032811.07FU,,
519,OTU,14699,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
293,OTU,14794,1,Fungi,,,,,,,,,,
711,OTU,14857,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
516,OTU,14878,1,Fungi,Basidiomycota,,,,,,,,,
197,OTU,14887,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Mastigobasidium,Mastigobasidium,sp,SH193777.07FU,,
656,OTU,14902,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
551,OTU,14918,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,,,,,
677,OTU,14926,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH467304.07FU,,
685,OTU,15004,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
220,OTU,15092,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,,,,,,
273,OTU,15370,1,Fungi,,,,,,,,,,
128,OTU,15385,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,,,,,,
280,OTU,15674,1,Fungi,,,,,,,,,,
507,OTU,15684,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,unidentified,unidentified,,,,,
641,OTU,15753,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
173,OTU,15844,1,Fungi,Basidiomycota,,,,,,,,,
780,OTU,15916,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Ramariopsis,Ramariopsis,sp,SH014393.07FU,,
779,OTU,16021,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH007891.07FU,,
371,OTU,16159,1,Fungi,,,,,,,,,,
214,OTU,16176,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,,,,,,,
434,OTU,16204,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,unidentified,Clavariaceae,sp,SH014395.07FU,,
630,OTU,16295,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,unidentified,Psathyrellaceae,sp,SH219038.07FU,,
388,OTU,16449,1,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,,,,,,,
304,OTU,16458,1,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae,Rhodotorula,,,,,
392,OTU,16466,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,conicosericeum,SH221918.07FU,,
295,OTU,16501,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,,,,
262,OTU,16587,1,Fungi,,,,,,,,,,
88,OTU,16691,1,Fungi,,,,,,,,,,
201,OTU,16738,1,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,,,,,,
760,OTU,16787,1,Fungi,,,,,,,,,,
373,OTU,17001,1,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,Basidiomycota,sp,SH194783.07FU,,
639,OTU,17093,1,Fungi,,,,,,,,,,
400,OTU,17229,1,Fungi,,,,,,,,,,
594,OTU,17235,1,Fungi,,,,,,,,,,
575,OTU,17247,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,sp,SH007588.07FU,,
310,OTU,17255,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,sacchariolens,SH197363.07FU,,
211,OTU,17263,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,sp,SH007588.07FU,,
588,OTU,17264,1,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,,,,,
615,OTU,17270,1,Fungi,Basidiomycota,,,,,,,,,
669,OTU,17394,1,Fungi,Basidiomycota,Agaricostilbomycetes,,,,,,,,
361,OTU,17446,1,Fungi,Basidiomycota,Pucciniomycetes,unidentified,unidentified,unidentified,Pucciniomycetes,sp,SH020484.07FU,,
566,OTU,17458,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,unidentified,Clavariaceae,sp,SH014395.07FU,,
198,OTU,17490,1,Fungi,,,,,,,,,,
565,OTU,17494,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
559,OTU,17524,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,,,,,
256,OTU,17585,1,Fungi,Basidiomycota,,,,,,,,,
82,OTU,17785,1,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,,,,,,
379,OTU,17991,1,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,Basidiomycota,sp,SH464490.07FU,,
314,OTU,18157,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH187289.07FU,,
651,OTU,18225,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,,,,,
584,OTU,18245,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,,,
690,OTU,18265,1,Fungi,,,,,,,,,,
576,OTU,18293,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,podzolicus,SH181879.07FU,,
735,OTU,18354,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,graphitipes,f.,cystidiatum,SH221924.07FU
281,OTU,18509,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
445,OTU,18625,1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma,adspersum,SH187221.07FU,,
704,OTU,18717,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,,,,,,
634,OTU,18773,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,,,,,
319,OTU,18869,1,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota,sp,SH217932.07FU,,
401,OTU,19213,1,Fungi,,,,,,,,,,
83,OTU,19315,1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae,Schwanniomyces,Schwanniomyces,yamadae,SH190095.07FU,,
435,OTU,19318,1,Fungi,Basidiomycota,Agaricostilbomycetes,,,,,,,,
277,OTU,19463,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
433,OTU,19506,1,Fungi,,,,,,,,,,
485,OTU,19604,1,Fungi,,,,,,,,,,
71,OTU,19648,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps,chlamydosporia,SH012125.07FU,,
605,OTU,19663,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,Absidia,sp,SH190047.07FU,,
667,OTU,19681,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Gongronella,Gongronella,butleri,SH186911.07FU,,
248,OTU,19709,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
116,OTU,19920,1,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota,sp,SH217934.07FU,,
494,OTU,19956,1,Fungi,Ascomycota,,,,,,,,,
596,OTU,19958,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,,,,,
773,OTU,19994,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,,,,,
680,OTU,20180,1,Fungi,,,,,,,,,,
470,OTU,20187,1,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,Rozellomycota,sp,SH011035.07FU,,
418,OTU,20376,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,,,,,
693,OTU,20390,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,,,,,
383,OTU,20414,1,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,Rozellomycota,sp,SH191083.07FU,,
411,OTU,20417,1,Fungi,,,,,,,,,,
317,OTU,20467,1,Fungi,Ascomycota,,,,,,,,,
330,OTU,20504,1,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,unidentified,Microascaceae,sp,SH194818.07FU,,
10,OTU,20539,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
246,OTU,20752,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
453,OTU,20763,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
358,OTU,20803,1,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,unidentified,Microascaceae,sp,SH194814.07FU,,
460,OTU,20805,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
695,OTU,20944,1,Fungi,,,,,,,,,,
572,OTU,20953,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH175220.07FU,,
484,OTU,20976,1,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Chrysosporium,Chrysosporium,europae,SH200823.07FU,,
258,OTU,20994,1,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,,,,
241,OTU,21011,1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces,lipofer,SH211524.07FU,,
525,OTU,21028,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH201242.07FU,,
469,OTU,21036,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,,,,,
652,OTU,21054,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,Glomeraceae,sp,SH181430.07FU,,
242,OTU,21245,1,Fungi,Ascomycota,Eurotiomycetes,,,,,,,,
499,OTU,21285,1,Fungi,,,,,,,,,,
619,OTU,21389,1,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,,,,,
164,OTU,21442,1,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,unidentified,Microascaceae,sp,SH194818.07FU,,
426,OTU,21464,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Monocillium,Monocillium,indicum,SH012417.07FU,,
702,OTU,21501,1,Fungi,Ascomycota,Sordariomycetes,,,,,,,,
322,OTU,21582,1,Fungi,Ascomycota,Sordariomycetes,Microascales,Incertae,Cephalotrichiella,Cephalotrichiella,penicillata,SH483068.07FU,,
278,OTU,21587,1,Fungi,,,,,,,,,,
114,OTU,21662,1,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,unidentified,Microascaceae,sp,SH194814.07FU,,
592,OTU,21670,1,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,,,,
65,OTU,21671,1,Fungi,Ascomycota,Sordariomycetes,,,,,,,,
710,OTU,21691,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,,,,,
611,OTU,21802,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
684,OTU,21855,1,Fungi,,,,,,,,,,
328,OTU,21861,1,Fungi,,,,,,,,,,
547,OTU,21879,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,Absidia,cylindrospora,SH199695.07FU,,
524,OTU,21893,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,Absidia,cylindrospora,SH199695.07FU,,
60,OTU,21944,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrocarpon,Cylindrocarpon,sp,SH174294.07FU,,
150,OTU,22051,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH217636.07FU,,
456,OTU,22277,1,Fungi,,,,,,,,,,
237,OTU,22278,1,Fungi,Chytridiomycota,unidentified,unidentified,unidentified,unidentified,Chytridiomycota,sp,SH215458.07FU,,
147,OTU,22284,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Acrostalagmus,Acrostalagmus,luteoalbus,SH205999.07FU,,
768,OTU,22304,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,Absidia,cylindrospora,SH199695.07FU,,
661,OTU,22310,1,Fungi,,,,,,,,,,
345,OTU,22376,1,Fungi,,,,,,,,,,
745,OTU,22377,1,Fungi,Ascomycota,Eurotiomycetes,unidentified,unidentified,unidentified,,,,,
458,OTU,22401,1,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,unidentified,Onygenaceae,sp,SH030119.07FU,,
291,OTU,22434,1,Fungi,,,,,,,,,,
32,OTU,22444,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH198277.07FU,,
296,OTU,22493,1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,,,,,
600,OTU,22639,1,Fungi,Ascomycota,,,,,,,,,
562,OTU,22694,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
234,OTU,22707,1,Fungi,Ascomycota,Eurotiomycetes,unidentified,unidentified,unidentified,,,,,
136,OTU,22790,1,Fungi,Ascomycota,,,,,,,,,
451,OTU,22829,1,Fungi,,,,,,,,,,
222,OTU,22836,1,Fungi,Ascomycota,Sordariomycetes,,,,,,,,
186,OTU,22837,1,Fungi,,,,,,,,,,
231,OTU,22842,1,Fungi,Ascomycota,,,,,,,,,
654,OTU,22967,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH027076.07FU,,
354,OTU,22975,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,,,,,,
264,OTU,23035,1,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,,,,,
502,OTU,23045,1,Fungi,Ascomycota,Pezizomycetes,unidentified,unidentified,unidentified,Pezizomycetes,sp,SH013363.07FU,,
45,OTU,23056,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales,sp,SH213541.07FU,,
118,OTU,23059,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Trichothecium,Trichothecium,crotocinigenum,SH192538.07FU,,
51,OTU,23061,1,Fungi,Zygomycota,Incertae,Mucorales,Mucoraceae,Mucor,Mucor,hiemalis,SH187072.07FU,,
251,OTU,23071,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,unidentified,Incertae,sedis,sp,SH207987.07FU,
441,OTU,23135,1,Fungi,Zygomycota,Incertae,Mucorales,Cunninghamellaceae,Absidia,Absidia,cylindrospora,SH199695.07FU,,
285,OTU,23160,1,Fungi,,,,,,,,,,
750,OTU,23162,1,Fungi,Ascomycota,Eurotiomycetes,unidentified,unidentified,unidentified,,,,,
260,OTU,23201,1,Fungi,Ascomycota,Eurotiomycetes,unidentified,unidentified,unidentified,,,,,
567,OTU,23258,1,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,Testudomyces,Testudomyces,verrucosus,SH471077.07FU,,
644,OTU,23260,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Tremella,Tremella,sp,SH025367.07FU,,
52,OTU,23261,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,persicinum,SH207979.07FU,,
707,OTU,23275,1,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza,domiciliana,SH008513.07FU,,
425,OTU,23380,1,Fungi,,,,,,,,,,
498,OTU,23400,1,Fungi,Ascomycota,Eurotiomycetes,unidentified,unidentified,unidentified,,,,,
287,OTU,23408,1,Fungi,,,,,,,,,,
117,OTU,23443,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Stachybotrys,Stachybotrys,chartarum,SH209070.07FU,,
405,OTU,23444,1,Fungi,Ascomycota,Leotiomycetes,unidentified,unidentified,unidentified,Leotiomycetes,sp,SH211410.07FU,,
581,OTU,23447,1,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,,,,,,
462,OTU,23452,1,Fungi,Ascomycota,,,,,,,,,
631,OTU,23458,1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae,Scytalidium,Scytalidium,circinatum,SH218618.07FU,,
585,OTU,23472,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,,,,
530,OTU,23477,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria,sp,SH470076.07FU,,
712,OTU,23479,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Stachybotrys,Stachybotrys,dichroa,SH209081.07FU,,
420,OTU,23481,1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella,rhopalota,SH206610.07FU,,
477,OTU,23512,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH197698.07FU,,
655,OTU,23630,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,,,,,,
298,OTU,23646,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,,,,,,
369,OTU,23649,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH200316.07FU,,
372,OTU,23663,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium,chrysogenum,SH187717.07FU,,
54,OTU,23665,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria,sp,SH470076.07FU,,
89,OTU,23687,1,Fungi,Ascomycota,Eurotiomycetes,unidentified,unidentified,unidentified,,,,,
483,OTU,23688,1,Fungi,Ascomycota,Eurotiomycetes,Onygenales,unidentified,unidentified,Onygenales,sp,SH214569.07FU,,
64,OTU,23718,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,psammosporum,SH214978.07FU,,
363,OTU,23827,1,Fungi,Ascomycota,Eurotiomycetes,,,,,,,,
290,OTU,23837,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Stachybotrys,Stachybotrys,chartarum,SH209070.07FU,,
385,OTU,23873,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Sarocladium,Sarocladium,strictum,SH210203.07FU,,
268,OTU,23880,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium,chrysogenum,SH187717.07FU,,
682,OTU,23977,1,Fungi,,,,,,,,,,
348,OTU,24057,1,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,Xylariales,sp,SH020018.07FU,,
736,OTU,24072,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,,,,,
120,OTU,24095,1,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,,,,,
4,OTU,24097,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH190979.07FU,,
740,OTU,24133,1,Fungi,Ascomycota,Sordariomycetes,Incertae,Plectosphaerellaceae,Verticillium,Verticillium,sp,SH192545.07FU,,
208,OTU,24164,1,Fungi,Ascomycota,Eurotiomycetes,,,,,,,,
534,OTU,24252,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH219559.07FU,,
571,OTU,24304,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,persicinum,SH207979.07FU,,
66,OTU,24346,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,unidentified,Trichocomaceae,sp,SH194192.07FU,,
338,OTU,24360,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,,,,,
431,OTU,24373,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,,,,
698,OTU,24375,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes,sp,SH219549.07FU,,
240,OTU,24425,1,Fungi,,,,,,,,,,
582,OTU,24428,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,,,,
49,OTU,24451,1,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,,,,,
316,OTU,24496,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,,,,,
649,OTU,24527,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales,sp,SH008915.07FU,,
283,OTU,24539,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,,,,,
323,OTU,24577,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,chrysogenum,SH020576.07FU,,
149,OTU,24583,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,alternatum,SH217985.07FU,,
413,OTU,24588,1,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Ctenomyces,Ctenomyces,serratus,SH193704.07FU,,
